unit	function	fuzzy	verdict	evidence
mario/Enemy/koopajr	TKoopaJrSubmarineManager::createEnemyInstance()	3.89	EQUIVALENT	ours inlines the TKoopaJrSubmarine ctor retail calls; retail ctor body has the same stores (vtables, 0x164/0x16c/0x188=0, 0x1a0=0, 0xf0 bit clears)
mario/Enemy/Koopa	TKoopaFlame::attack_(THitActor*)	18.43	EQUIVALENT	ours expands TKoopa::changeAnm(3, 0, rate) which retail calls; expansion equals retail changeAnm body with the same args
mario/System/MarNameRefGen	JGadget::TVector<TCameraMapTool, JGadget::TAllocator<TCameraMapTool>>::InsertRaw(TCameraMapTool*, unsigned long)	60.22	EQUIVALENT	ours calls the implicit TCameraMapTool::operator= in the copy_backward loop; retail inlines the same member copy (offsets 4..47, unrolled x4) over the same range
mario/Enemy/koopajr	TDirectionCalc::calcNearerDirection(float)	69.88	EQUIVALENT	MSL std::fmodf inlined (body identical to retail weak copy in wireTrap.o); same args (2pi + (dir - c), 2pi)
mario/Enemy/pakkun	TStayPakkun::load(JSUMemoryInputStream&)	80.09	EQUIVALENT	weak TVec3::set<f> call inlined
mario/Player/MarioParticle	TWarpInCallBack::execute(JPABaseEmitter*, JPABaseParticle*)	80.23	EQUIVALENT	by-value TVec3 copy temporaries elided; effects identical
mario/Enemy/Koopa	TKoopa::calcRootMatrix()	81.67	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/Animal/BeeHive	TBeeHive::getCenterOfGravity() const	85.90	EQUIVALENT	array base loaded once per unrolled iteration instead of per element; effects identical
mario/Map/MapWire	TMapWire::getPosInWire(const JGeometry::TVec3<float>&) const	85.94	EQUIVALENT	struct-copy temporaries elided; same sqrt args and quotient
mario/Enemy/Kukku	TKukku::dropCoins()	86.49	EQUIVALENT	weak TVec3::set<f> inlined (jmaSin/Cos velocity); stores to the coin identical
mario/Enemy/BathtubKiller	TNerveBathtubKillerStraight::execute(TSpineBase<TLiveActor>*) const	86.98	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/MoveBG/MapObjInit	TMapObjBase::initMActor(const char*, const char*, unsigned long)	87.09	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/Enemy/Kazekun	TKazekun::doAttackPose(bool)	87.64	BUG	spin axis was mQuat.rotate((0,-1,0)); retail rotates (-1,0,0) (the -1.0 literal multiplies vx terms). Fixed; effects now identical, 87.64 -> 89.50
mario/MoveBG/MapObjCorona	TBathtub::calcRootMatrix()	87.82	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/Enemy/BathtubKiller	TBathtubKiller::setMActorAndKeeper()	88.09	EQUIVALENT	string pool reached through a differently named base symbol; same offsets and args
mario/System/EventWatcher	evIsNearActors(TSpcTypedInterp<TEventWatcher>*, unsigned long)	88.54	EQUIVALENT	TUtil::sqrt inlined; stack-arg index spelled (top-1)-(argc-1) vs top-argc
mario/MoveBG/MapObjPollution	TMapObjRevivalPollution::loadAfter()	88.84	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/THPPlayer/THPAudioDecode	AudioDecoderForOnMemory(void*)	89.27	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/MoveBG/MapObjMamma	TSandBomb::touchWater(THitActor*)	89.41	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/Animal/BeeHive	TBeeHive::controlCollision()	89.58	EQUIVALENT	retail has a dead compare (idx+1 vs count) overwritten before the branch; stores identical
mario/Animal/AnimalBase	TAnimalBase::execWalk(bool)	90.25	EQUIVALENT	weak MsClamp<f> inlined
mario/Enemy/igaiga	TGorogoroManager::perform(unsigned long, JDrama::TGraphics*)	90.34	EQUIVALENT	MsWrap<f> inlined; unk64 re-tested at a join and a dead else-value (TRUE vs 0) behind a non-null test; effects identical
mario/Enemy/Kumokun	JGeometry::TQuat4<float>::rotate(const JGeometry::TVec3<float>&, JGeometry::TVec3<float>&) const	90.39	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/MoveBG/MapObjMamma	TSandCastle::expanded()	90.56	EQUIVALENT	getMActor() accessor call vs direct read of +0x74
mario/Enemy/effectObj	TEffectObjBase::perform(unsigned long, JDrama::TGraphics*)	90.77	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/MoveBG/MapObjMamma	TMammaMirrorMapOperator::perform(unsigned long, JDrama::TGraphics*)	90.88	EQUIVALENT	squared distance summed y,x,z with fmadds (fp-contract rounding only); same addresses
mario/Animal/BeeHive	JGeometry::TRotation3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float>>>::setSQ(const JGeometry::TVec3<float>&, const JGeometry::TQuat4<float>&)	91.05	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/Map/MapCheck	bgIntersectLine(const TBGCheckData*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, bool, JGeometry::TVec3<float>*)	91.14	EQUIVALENT	symbolic effects identical (non-stack stores, call args, compares, returns); residue is regalloc/scheduling/stack layout
mario/Player/MarioMove	TMario::moveRequest(const JGeometry::TVec3<float>&)	91.17	EQUIVALENT	effects identical; only the dead f1 at return of a void function differs
